Execution ID,Milliseconds Passed,Temperature (C),Power Usage (W),GPU Utilization (%),Memory Usage (MB),Cache Usage,Clocks Video (MHz)
107,95,61.0,25.56,0.0,737.0,0.0,885.0
107,121,61.0,32.49,0.0,737.0,0.0,885.0
107,143,61.0,32.49,0.0,737.0,0.0,885.0
107,166,61.0,32.49,0.0,737.0,0.0,885.0
107,188,61.0,32.49,0.0,737.0,0.0,885.0
107,211,61.0,32.49,0.0,737.0,0.0,885.0
107,235,61.0,24.51,0.0,737.0,0.0,885.0
107,260,61.0,24.51,0.0,737.0,0.0,885.0
107,287,61.0,24.51,0.0,737.0,0.0,885.0
107,330,61.0,24.38,0.0,737.0,0.0,885.0
107,385,61.0,24.38,6.0,737.0,4.0,885.0
107,437,61.0,24.2,6.0,737.0,4.0,885.0
107,489,61.0,24.2,6.0,737.0,4.0,885.0
107,543,61.0,24.19,6.0,737.0,4.0,885.0
107,599,61.0,24.19,6.0,737.0,4.0,885.0
107,654,61.0,24.16,6.0,737.0,4.0,885.0
107,709,61.0,24.16,6.0,737.0,4.0,885.0
107,760,61.0,24.2,6.0,737.0,4.0,885.0
107,792,61.0,24.2,6.0,737.0,4.0,885.0
107,819,61.0,24.2,6.0,737.0,4.0,885.0
107,846,61.0,24.23,6.0,737.0,4.0,885.0
107,870,61.0,24.23,6.0,737.0,4.0,885.0
107,893,61.0,24.23,6.0,737.0,4.0,885.0
107,915,61.0,24.23,6.0,737.0,4.0,885.0
107,938,61.0,24.44,6.0,737.0,4.0,885.0
107,961,61.0,24.44,6.0,737.0,4.0,885.0
107,983,61.0,24.44,6.0,737.0,4.0,885.0
107,1006,61.0,24.44,6.0,737.0,4.0,885.0
107,1028,61.0,24.36,6.0,737.0,4.0,885.0
107,1050,61.0,24.36,6.0,737.0,4.0,885.0
107,1072,61.0,24.36,6.0,737.0,4.0,885.0
107,1094,61.0,24.36,6.0,737.0,4.0,885.0
107,1117,61.0,24.36,6.0,737.0,4.0,885.0
107,1139,61.0,24.51,6.0,737.0,4.0,885.0
107,1162,61.0,24.51,6.0,737.0,4.0,885.0
107,1184,61.0,24.51,6.0,737.0,4.0,885.0
107,1209,61.0,24.51,6.0,737.0,4.0,885.0
107,1232,61.0,24.42,6.0,737.0,4.0,885.0
107,1255,61.0,24.42,6.0,737.0,4.0,885.0
107,1279,61.0,24.42,6.0,737.0,4.0,885.0
107,1308,61.0,24.42,6.0,737.0,4.0,885.0
107,1331,61.0,24.41,6.0,737.0,4.0,885.0
107,1358,61.0,24.41,6.0,737.0,4.0,885.0
107,1387,61.0,24.41,0.0,737.0,0.0,885.0
107,1413,61.0,24.41,0.0,737.0,0.0,885.0
107,1444,61.0,24.43,0.0,737.0,0.0,885.0
107,1475,61.0,24.43,0.0,737.0,0.0,885.0
107,1507,61.0,24.43,0.0,737.0,0.0,885.0
107,1538,61.0,24.29,0.0,737.0,0.0,885.0
107,1570,61.0,24.29,0.0,737.0,0.0,885.0
107,1601,61.0,24.29,0.0,737.0,0.0,885.0
107,1631,61.0,24.31,0.0,737.0,0.0,885.0
107,1656,61.0,24.31,0.0,737.0,0.0,885.0
107,1679,61.0,24.31,0.0,737.0,0.0,885.0
107,1702,61.0,24.31,0.0,737.0,0.0,885.0
107,1726,61.0,24.5,0.0,737.0,0.0,885.0
107,1751,61.0,24.5,0.0,737.0,0.0,885.0
107,1773,61.0,24.5,0.0,737.0,0.0,885.0
107,1796,61.0,24.5,0.0,737.0,0.0,885.0
107,1818,61.0,24.5,0.0,737.0,0.0,885.0
107,1841,61.0,24.45,0.0,737.0,0.0,885.0
107,1867,61.0,24.45,0.0,737.0,0.0,885.0
107,1891,61.0,24.45,0.0,737.0,0.0,885.0
107,1915,61.0,24.45,0.0,737.0,0.0,885.0
107,1938,61.0,24.42,0.0,737.0,0.0,885.0
107,1964,61.0,24.42,0.0,737.0,0.0,885.0
107,1987,61.0,24.42,0.0,737.0,0.0,885.0
107,2010,61.0,24.42,0.0,737.0,0.0,885.0
107,2033,61.0,24.42,0.0,737.0,0.0,885.0
107,2057,61.0,24.42,0.0,737.0,0.0,885.0
107,2084,61.0,24.42,0.0,737.0,0.0,885.0
107,2121,61.0,24.42,0.0,737.0,0.0,885.0
107,2167,61.0,24.37,0.0,737.0,0.0,885.0
107,2214,61.0,24.37,0.0,737.0,0.0,885.0
107,2263,61.0,24.1,0.0,737.0,0.0,885.0
107,2309,61.0,24.1,0.0,737.0,0.0,885.0
107,2358,61.0,24.13,0.0,737.0,0.0,885.0
107,2408,61.0,24.13,0.0,737.0,0.0,885.0
107,2457,61.0,24.13,0.0,737.0,0.0,885.0
107,2506,61.0,24.13,0.0,737.0,0.0,885.0
107,2555,61.0,24.12,0.0,737.0,0.0,885.0
107,2605,61.0,24.12,0.0,737.0,0.0,885.0
107,2655,61.0,24.11,0.0,737.0,0.0,885.0
107,2705,61.0,24.11,0.0,737.0,0.0,885.0
107,2754,61.0,24.13,0.0,737.0,0.0,885.0
107,2804,61.0,24.13,0.0,737.0,0.0,885.0
107,2854,61.0,24.12,0.0,737.0,0.0,885.0
107,2901,61.0,24.12,0.0,737.0,0.0,885.0
107,2947,61.0,24.16,0.0,737.0,0.0,885.0
107,2996,61.0,24.16,0.0,737.0,0.0,885.0
107,3048,61.0,24.13,0.0,737.0,0.0,885.0
