Execution ID,Milliseconds Passed,Temperature (C),Power Usage (W),GPU Utilization (%),Memory Usage (MB),Cache Usage,Clocks Video (MHz)
2,56,46.0,7.45,0.0,811.0,0.0,885.0
2,110,46.0,7.45,0.0,811.0,0.0,885.0
2,164,46.0,8.5,0.0,811.0,0.0,885.0
2,219,46.0,8.5,0.0,811.0,0.0,885.0
2,273,46.0,8.35,0.0,811.0,0.0,885.0
2,327,46.0,8.35,0.0,811.0,0.0,885.0
2,381,46.0,8.42,0.0,811.0,0.0,885.0
2,436,46.0,8.07,3.0,811.0,2.0,885.0
2,490,46.0,8.07,3.0,811.0,2.0,885.0
2,545,46.0,8.54,3.0,811.0,2.0,885.0
2,603,46.0,8.54,3.0,811.0,2.0,885.0
2,658,46.0,8.75,3.0,811.0,2.0,885.0
2,712,46.0,8.75,3.0,811.0,2.0,885.0
2,767,46.0,8.3,3.0,811.0,2.0,885.0
2,820,46.0,8.3,3.0,811.0,2.0,885.0
2,873,46.0,8.34,3.0,811.0,2.0,885.0
2,928,46.0,8.34,3.0,811.0,2.0,885.0
2,982,46.0,8.24,3.0,811.0,2.0,885.0
2,1036,46.0,8.1,3.0,811.0,2.0,885.0
2,1090,46.0,8.1,3.0,811.0,2.0,885.0
2,1145,46.0,8.1,3.0,811.0,2.0,885.0
2,1199,46.0,8.1,3.0,811.0,2.0,885.0
2,1254,46.0,8.36,3.0,811.0,2.0,885.0
2,1307,46.0,8.36,3.0,811.0,2.0,885.0
2,1360,46.0,8.32,3.0,811.0,2.0,885.0
2,1415,46.0,8.32,0.0,811.0,0.0,885.0
2,1469,46.0,8.4,0.0,811.0,0.0,885.0
2,1523,46.0,8.4,0.0,811.0,0.0,885.0
2,1577,46.0,8.34,0.0,811.0,0.0,885.0
2,1632,46.0,8.34,0.0,811.0,0.0,885.0
2,1686,46.0,8.66,0.0,811.0,0.0,885.0
2,1741,46.0,7.84,0.0,811.0,0.0,885.0
2,1796,46.0,7.84,0.0,811.0,0.0,885.0
2,1852,46.0,8.36,0.0,811.0,0.0,885.0
2,1907,46.0,8.36,0.0,811.0,0.0,885.0
2,1960,46.0,8.26,0.0,811.0,0.0,885.0
2,2014,46.0,8.26,0.0,811.0,0.0,885.0
2,2069,46.0,8.33,0.0,811.0,0.0,885.0
2,2123,46.0,8.33,0.0,811.0,0.0,885.0
2,2176,46.0,8.27,0.0,811.0,0.0,885.0
2,2233,46.0,8.27,0.0,811.0,0.0,885.0
2,2288,46.0,8.33,0.0,811.0,0.0,885.0
2,2342,46.0,7.91,0.0,811.0,0.0,885.0
2,2395,46.0,7.91,0.0,811.0,0.0,885.0
2,2449,46.0,8.38,0.0,811.0,0.0,885.0
2,2506,46.0,8.38,0.0,811.0,0.0,885.0
2,2540,46.0,8.39,0.0,811.0,0.0,885.0
2,2564,46.0,8.39,0.0,811.0,0.0,885.0
2,2586,46.0,8.39,0.0,811.0,0.0,885.0
2,2608,46.0,8.39,0.0,811.0,0.0,885.0
2,2630,46.0,8.39,0.0,811.0,0.0,885.0
2,2652,46.0,9.72,0.0,811.0,0.0,885.0
2,2674,46.0,9.72,0.0,811.0,0.0,885.0
2,2696,46.0,9.72,0.0,811.0,0.0,885.0
2,2718,46.0,9.72,0.0,811.0,0.0,885.0
2,2740,46.0,9.14,0.0,811.0,0.0,885.0
2,2762,46.0,9.14,0.0,811.0,0.0,885.0
2,2784,46.0,9.14,0.0,811.0,0.0,885.0
2,2807,46.0,9.14,0.0,811.0,0.0,885.0
2,2830,46.0,9.14,0.0,811.0,0.0,885.0
2,2852,46.0,9.49,0.0,811.0,0.0,885.0
2,2874,46.0,9.49,0.0,811.0,0.0,885.0
2,2896,46.0,9.49,0.0,811.0,0.0,885.0
2,2923,46.0,9.49,0.0,811.0,0.0,885.0
2,2976,46.0,9.11,0.0,811.0,0.0,885.0
2,3027,46.0,9.11,0.0,811.0,0.0,885.0
