Execution ID,Milliseconds Passed,Temperature (C),Power Usage (W),GPU Utilization (%),Memory Usage (MB),Cache Usage,Clocks Video (MHz)
101,119,62.0,32.96,0.0,737.0,0.0,885.0
101,172,62.0,25.22,0.0,737.0,0.0,885.0
101,225,61.0,25.22,0.0,737.0,0.0,885.0
101,279,61.0,24.23,0.0,737.0,0.0,885.0
101,332,61.0,24.23,0.0,737.0,0.0,885.0
101,386,62.0,24.27,0.0,737.0,0.0,885.0
101,439,61.0,24.27,0.0,737.0,0.0,885.0
101,493,61.0,24.26,0.0,737.0,0.0,885.0
101,547,61.0,24.26,0.0,737.0,0.0,885.0
101,601,61.0,24.31,0.0,737.0,0.0,885.0
101,654,61.0,24.31,0.0,737.0,0.0,885.0
101,707,61.0,24.33,0.0,737.0,0.0,885.0
101,760,61.0,24.33,0.0,737.0,0.0,885.0
101,810,61.0,24.34,0.0,737.0,0.0,885.0
101,860,61.0,24.34,0.0,737.0,0.0,885.0
101,910,61.0,24.27,0.0,737.0,0.0,885.0
101,961,61.0,24.27,0.0,737.0,0.0,885.0
101,1011,61.0,24.31,0.0,737.0,0.0,885.0
101,1062,61.0,24.31,6.0,737.0,4.0,885.0
101,1114,61.0,24.3,6.0,737.0,4.0,885.0
101,1167,61.0,24.3,6.0,737.0,4.0,885.0
101,1228,61.0,24.34,6.0,737.0,4.0,885.0
101,1282,61.0,24.21,6.0,737.0,4.0,885.0
101,1331,61.0,24.21,6.0,737.0,4.0,885.0
101,1383,61.0,24.3,6.0,737.0,4.0,885.0
101,1433,61.0,24.3,6.0,737.0,4.0,885.0
101,1483,61.0,24.32,6.0,737.0,4.0,885.0
101,1530,61.0,24.32,6.0,737.0,4.0,885.0
101,1577,61.0,24.31,6.0,737.0,4.0,885.0
101,1626,61.0,24.31,6.0,737.0,4.0,885.0
101,1676,61.0,24.26,6.0,737.0,4.0,885.0
101,1726,61.0,24.26,6.0,737.0,4.0,885.0
101,1775,61.0,24.25,6.0,737.0,4.0,885.0
101,1823,61.0,24.25,6.0,737.0,4.0,885.0
101,1876,61.0,24.33,6.0,737.0,4.0,885.0
101,1935,61.0,24.33,6.0,737.0,4.0,885.0
101,1985,61.0,24.21,6.0,737.0,4.0,885.0
101,2033,61.0,24.21,0.0,737.0,0.0,885.0
101,2080,61.0,24.28,0.0,737.0,0.0,885.0
101,2129,61.0,24.28,0.0,737.0,0.0,885.0
101,2178,61.0,24.25,0.0,737.0,0.0,885.0
101,2225,61.0,24.25,0.0,737.0,0.0,885.0
101,2272,61.0,24.25,0.0,737.0,0.0,885.0
101,2321,61.0,24.3,0.0,737.0,0.0,885.0
101,2371,61.0,24.3,0.0,737.0,0.0,885.0
101,2421,61.0,24.26,0.0,737.0,0.0,885.0
101,2470,61.0,24.26,0.0,737.0,0.0,885.0
101,2521,61.0,24.22,0.0,737.0,0.0,885.0
101,2571,61.0,24.22,0.0,737.0,0.0,885.0
101,2621,61.0,24.22,0.0,737.0,0.0,885.0
101,2671,61.0,24.22,0.0,737.0,0.0,885.0
101,2721,61.0,24.22,0.0,737.0,0.0,885.0
101,2770,61.0,24.22,0.0,737.0,0.0,885.0
101,2822,61.0,24.24,0.0,737.0,0.0,885.0
101,2872,61.0,24.24,0.0,737.0,0.0,885.0
101,2921,61.0,24.24,0.0,737.0,0.0,885.0
101,2971,61.0,24.24,0.0,737.0,0.0,885.0
101,3020,61.0,24.26,0.0,737.0,0.0,885.0
